scrape_id,barcode,competitor_channel,competitor_product_name,listed_price,discounted_price,voucher_text,timestamp
SCRAPE-0067,7862075470265,GrabMart,Auth 100% Sữa rửa mặt La Roche-Posay 50ml,792000,605000,Freeship extra,2026-07-04 19:44:56
SCRAPE-0068,7862075470265,GrabMart,Date mới Sữa rửa mặt La Roche-Posay 50ml,991000,947000,Giảm 15k cho đơn từ 150k,2026-07-02 17:38:42
SCRAPE-0069,72856176822,GrabMart,Dầu gội Vichy 200g Date mới,535000,470000,Giảm 50K đơn 300K,2026-07-03 23:46:33
SCRAPE-0070,72856176822,Shopee,Auth 100% Dầu gội Vichy 200g,651000,574000,,2026-06-29 19:24:26
SCRAPE-0071,72856176822,TikTok Shop,Dầu gội Vichy 200g Giá sỉ,632000,447000,Freeship extra,2026-07-03 11:18:24
SCRAPE-0072,72856176822,Shopee,Dầu gội Vichy 200g Giá sỉ,566000,415000,Giảm 50K đơn 300K,2026-07-05 22:05:49
SCRAPE-0073,72856176822,Shopee,Dầu gội Vichy 200g [Freeship],572000,475000,Giảm 50K đơn 300K,2026-07-01 12:23:53
SCRAPE-0074,2132824971987,Shopee,Auth 100% Dầu gội Vichy 30ml,1222000,1001000,Giảm 50K đơn 300K,2026-06-29 22:03:03
SCRAPE-0075,2132824971987,Lazada,Giá sỉ Dầu gội Vichy 30ml,1166000,866000,Giảm 50K đơn 300K,2026-06-29 02:33:50
SCRAPE-0076,2132824971987,Shopee,Dầu gội Vichy 30ml Date mới,1262000,1132000,Giảm 50K đơn 300K,2026-06-29 14:24:25
SCRAPE-0077,2132824971987,Lazada,Chính hãng Dầu gội Vichy 30ml,1218000,857000,Hoàn xu 10%,2026-06-30 12:11:08
SCRAPE-0078,2132824971987,Lazada,[Freeship] Dầu gội Vichy 30ml,1197000,1095000,Freeship extra,2026-06-30 14:06:21
SCRAPE-0079,2970211578228,TikTok Shop,Kem chống nắng Maybelline 250ml Auth 100%,977000,797000,Hoàn xu 10%,2026-07-03 10:19:26
SCRAPE-0080,2970211578228,Shopee,[Freeship] Kem chống nắng Maybelline 250ml,983000,955000,,2026-06-30 13:20:52
SCRAPE-0081,2970211578228,Lazada,Kem chống nắng Maybelline 250ml Giá sỉ,1099000,771000,Freeship extra,2026-07-03 19:19:25
SCRAPE-0082,2970211578228,Shopee,Chính hãng Kem chống nắng Maybelline 250ml,865000,772000,Freeship extra,2026-06-30 01:28:12
SCRAPE-0083,499276556405,Lazada,[Freeship] Sữa rửa mặt La Roche-Posay 150g,334000,317000,Hoàn xu 10%,2026-07-04 05:15:57
SCRAPE-0084,499276556405,Shopee,Date mới Sữa rửa mặt La Roche-Posay 150g,280000,279000,Giảm 15k cho đơn từ 150k,2026-07-05 16:56:21
SCRAPE-0085,499276556405,Shopee,Sữa rửa mặt La Roche-Posay 150g Chính hãng,310000,226000,,2026-06-29 10:02:35
SCRAPE-0086,6390191861854,TikTok Shop,Sữa rửa mặt Garnier 150g [Freeship],1398000,990000,Giảm 15k cho đơn từ 150k,2026-06-29 12:52:13
SCRAPE-0087,6390191861854,TikTok Shop,[Freeship] Sữa rửa mặt Garnier 150g,1204000,957000,Hoàn xu 10%,2026-06-30 17:24:51
SCRAPE-0088,6390191861854,Lazada,Chính hãng Sữa rửa mặt Garnier 150g,1318000,1122000,,2026-06-29 15:59:40
SCRAPE-0089,6390191861854,TikTok Shop,Sữa rửa mặt Garnier 150g Auth 100%,1456000,1043000,Hoàn xu 10%,2026-07-04 07:31:23
SCRAPE-0090,6390191861854,Shopee,Sữa rửa mặt Garnier 150g [Freeship],1268000,986000,Giảm 15k cho đơn từ 150k,2026-07-05 20:20:51
SCRAPE-0091,469777508820,Lazada,Dầu gội L'Oreal 200g Giá sỉ,901000,865000,Giảm 15k cho đơn từ 150k,2026-07-01 01:59:27
SCRAPE-0092,469777508820,GrabMart,[Freeship] Dầu gội L'Oreal 200g,805000,706000,Freeship extra,2026-06-29 21:02:06
SCRAPE-0093,469777508820,TikTok Shop,Chính hãng Dầu gội L'Oreal 200g,782000,562000,Freeship extra,2026-07-03 03:11:21
SCRAPE-0094,615948125591,Lazada,Serum CeraVe 250ml [Freeship],101000,89000,,2026-07-02 13:15:48
SCRAPE-0095,615948125591,TikTok Shop,Serum CeraVe 250ml Auth 100%,114000,89000,Giảm 15k cho đơn từ 150k,2026-07-01 02:54:45
SCRAPE-0096,615948125591,TikTok Shop,Giá sỉ Serum CeraVe 250ml,108000,83000,Giảm 50K đơn 300K,2026-07-05 19:18:31
SCRAPE-0097,615948125591,GrabMart,Serum CeraVe 250ml Auth 100%,109000,79000,,2026-07-01 21:14:47
SCRAPE-0098,6610810571542,Lazada,Kem chống nắng Cetaphil 150g Giá sỉ,823000,691000,Giảm 15k cho đơn từ 150k,2026-07-03 15:38:39
SCRAPE-0099,6610810571542,GrabMart,Auth 100% Kem chống nắng Cetaphil 150g,983000,766000,Giảm 50K đơn 300K,2026-07-03 02:30:23
SCRAPE-0100,6610810571542,GrabMart,Date mới Kem chống nắng Cetaphil 150g,1096000,933000,Giảm 50K đơn 300K,2026-07-02 04:23:21
SCRAPE-0101,3385839658624,TikTok Shop,Nước tẩy trang CeraVe 150g Chính hãng,113000,98000,Freeship extra,2026-07-01 01:02:16
SCRAPE-0102,3385839658624,Shopee,Giá sỉ Nước tẩy trang CeraVe 150g,127000,126000,,2026-06-30 05:11:50
SCRAPE-0103,3385839658624,Lazada,Chính hãng Nước tẩy trang CeraVe 150g,105000,76000,Giảm 15k cho đơn từ 150k,2026-07-04 07:55:21
SCRAPE-0104,3385839658624,Shopee,Nước tẩy trang CeraVe 150g Auth 100%,139000,119000,Freeship extra,2026-06-30 06:38:53
SCRAPE-0105,3385839658624,Shopee,Date mới Nước tẩy trang CeraVe 150g,136000,109000,Giảm 50K đơn 300K,2026-06-30 16:02:34
SCRAPE-0106,2261755986103,Lazada,Dầu gội Garnier 500ml Giá sỉ,1163000,929000,Giảm 50K đơn 300K,2026-07-02 00:45:45
SCRAPE-0107,2261755986103,Shopee,Dầu gội Garnier 500ml Auth 100%,1108000,994000,Giảm 50K đơn 300K,2026-06-30 12:55:20
SCRAPE-0108,2261755986103,GrabMart,[Freeship] Dầu gội Garnier 500ml,1125000,889000,Hoàn xu 10%,2026-07-03 18:38:38
SCRAPE-0109,2261755986103,Lazada,Date mới Dầu gội Garnier 500ml,1085000,764000,Hoàn xu 10%,2026-07-05 13:26:07
SCRAPE-0110,2261755986103,Shopee,Dầu gội Garnier 500ml Auth 100%,1064000,777000,Giảm 50K đơn 300K,2026-07-01 07:22:00
SCRAPE-0111,6162826621852,Shopee,Toner Hada Labo 50ml Giá sỉ,1275000,1213000,Freeship extra,2026-06-30 15:45:12
SCRAPE-0112,6162826621852,Lazada,Toner Hada Labo 50ml Auth 100%,1497000,1304000,Giảm 50K đơn 300K,2026-07-01 15:09:57
SCRAPE-0113,6162826621852,GrabMart,Toner Hada Labo 50ml [Freeship],1445000,1062000,Giảm 50K đơn 300K,2026-07-03 20:04:21
SCRAPE-0114,6162826621852,GrabMart,[Freeship] Toner Hada Labo 50ml,1206000,955000,,2026-07-03 19:01:15
SCRAPE-0115,6162826621852,TikTok Shop,Toner Hada Labo 50ml Auth 100%,1447000,1378000,Giảm 15k cho đơn từ 150k,2026-06-29 18:56:26
SCRAPE-0116,8645666173046,TikTok Shop,Dầu gội Garnier 500ml Chính hãng,721000,661000,Giảm 50K đơn 300K,2026-07-04 23:34:41
SCRAPE-0117,8645666173046,Lazada,Auth 100% Dầu gội Garnier 500ml,598000,470000,Giảm 50K đơn 300K,2026-07-01 13:32:32
SCRAPE-0118,8645666173046,GrabMart,Dầu gội Garnier 500ml [Freeship],754000,562000,Giảm 15k cho đơn từ 150k,2026-06-29 10:33:32
SCRAPE-0119,8645666173046,Shopee,Dầu gội Garnier 500ml Giá sỉ,597000,579000,Freeship extra,2026-07-05 16:23:42
SCRAPE-0120,8645666173046,Shopee,Dầu gội Garnier 500ml Auth 100%,609000,468000,,2026-06-30 12:09:32
SCRAPE-0121,3078270635534,GrabMart,Giá sỉ Nước tẩy trang Innisfree 500ml,1491000,1105000,Freeship extra,2026-07-05 19:29:36
SCRAPE-0122,3078270635534,GrabMart,[Freeship] Nước tẩy trang Innisfree 500ml,1432000,1348000,,2026-07-02 10:08:11
SCRAPE-0123,3078270635534,Shopee,Nước tẩy trang Innisfree 500ml Date mới,1385000,1220000,Freeship extra,2026-07-04 00:55:36
SCRAPE-0124,8814783781863,GrabMart,Sữa tắm CeraVe 30ml [Freeship],412000,304000,Hoàn xu 10%,2026-07-02 02:49:23
SCRAPE-0125,8814783781863,GrabMart,Giá sỉ Sữa tắm CeraVe 30ml,453000,355000,Giảm 15k cho đơn từ 150k,2026-07-05 01:16:53
SCRAPE-0126,8814783781863,Shopee,Giá sỉ Sữa tắm CeraVe 30ml,426000,327000,Giảm 50K đơn 300K,2026-06-30 22:36:22
SCRAPE-0127,8814783781863,TikTok Shop,Sữa tắm CeraVe 30ml [Freeship],387000,328000,Hoàn xu 10%,2026-07-03 12:15:37
SCRAPE-0128,5675947110678,Shopee,Giá sỉ Mặt nạ Innisfree 250ml,659000,576000,Freeship extra,2026-07-05 03:55:28
SCRAPE-0129,5675947110678,GrabMart,Mặt nạ Innisfree 250ml [Freeship],742000,600000,Freeship extra,2026-07-02 18:23:18
SCRAPE-0130,5675947110678,Lazada,Mặt nạ Innisfree 250ml Chính hãng,591000,520000,Giảm 15k cho đơn từ 150k,2026-06-30 02:08:52
SCRAPE-0131,3518121420679,Lazada,Auth 100% Sữa rửa mặt Vichy 150g,658000,620000,Giảm 15k cho đơn từ 150k,2026-07-01 03:51:20
SCRAPE-0132,3518121420679,Shopee,Date mới Sữa rửa mặt Vichy 150g,679000,505000,Freeship extra,2026-06-28 23:21:14
SCRAPE-0133,3518121420679,Lazada,Date mới Sữa rửa mặt Vichy 150g,592000,558000,Freeship extra,2026-06-29 10:29:51
SCRAPE-0134,6643017529092,TikTok Shop,Mặt nạ Cetaphil 30ml Giá sỉ,797000,693000,,2026-07-02 10:19:07
SCRAPE-0135,6643017529092,GrabMart,[Freeship] Mặt nạ Cetaphil 30ml,935000,727000,Giảm 50K đơn 300K,2026-07-05 10:00:53
SCRAPE-0136,6643017529092,Lazada,[Freeship] Mặt nạ Cetaphil 30ml,851000,765000,Freeship extra,2026-06-30 11:04:42
SCRAPE-0137,6643017529092,Lazada,Mặt nạ Cetaphil 30ml Chính hãng,922000,713000,Giảm 15k cho đơn từ 150k,2026-06-30 13:32:02
SCRAPE-0138,6643017529092,Shopee,Auth 100% Mặt nạ Cetaphil 30ml,828000,762000,Giảm 15k cho đơn từ 150k,2026-07-03 02:03:32
SCRAPE-0139,4673470898196,GrabMart,Date mới Sữa rửa mặt Vichy 200g,875000,790000,Giảm 50K đơn 300K,2026-07-04 05:15:41
SCRAPE-0140,4673470898196,Lazada,Giá sỉ Sữa rửa mặt Vichy 200g,1010000,803000,Giảm 15k cho đơn từ 150k,2026-07-05 21:41:32
SCRAPE-0141,4673470898196,TikTok Shop,Giá sỉ Sữa rửa mặt Vichy 200g,906000,899000,Hoàn xu 10%,2026-07-04 07:05:16
SCRAPE-0142,4673470898196,Shopee,Chính hãng Sữa rửa mặt Vichy 200g,789000,741000,Giảm 15k cho đơn từ 150k,2026-06-29 04:18:01
SCRAPE-0143,4673470898196,TikTok Shop,Sữa rửa mặt Vichy 200g Date mới,925000,867000,Giảm 15k cho đơn từ 150k,2026-07-01 00:04:04
SCRAPE-0144,565822564928,TikTok Shop,Sữa rửa mặt Bioderma 100ml Giá sỉ,486000,397000,Hoàn xu 10%,2026-06-29 00:59:20
SCRAPE-0145,565822564928,GrabMart,Date mới Sữa rửa mặt Bioderma 100ml,477000,409000,Giảm 15k cho đơn từ 150k,2026-07-02 18:27:54
SCRAPE-0146,565822564928,TikTok Shop,Giá sỉ Sữa rửa mặt Bioderma 100ml,626000,596000,Giảm 50K đơn 300K,2026-07-05 03:40:36
SCRAPE-0147,908615041871,GrabMart,Kem chống nắng L'Oreal 30ml Date mới,285000,217000,Giảm 50K đơn 300K,2026-06-30 11:15:20
SCRAPE-0148,908615041871,Shopee,Kem chống nắng L'Oreal 30ml Auth 100%,260000,202000,Freeship extra,2026-07-02 10:12:36
SCRAPE-0149,908615041871,Shopee,Chính hãng Kem chống nắng L'Oreal 30ml,265000,259000,Freeship extra,2026-07-04 10:55:30
SCRAPE-0150,908615041871,TikTok Shop,[Freeship] Kem chống nắng L'Oreal 30ml,311000,262000,,2026-06-30 16:14:16
SCRAPE-0151,2365816576543,Lazada,Chính hãng Sữa tắm Hada Labo 100ml,910000,826000,Giảm 50K đơn 300K,2026-07-05 14:11:13
SCRAPE-0152,2365816576543,GrabMart,Sữa tắm Hada Labo 100ml Giá sỉ,818000,666000,Hoàn xu 10%,2026-07-04 08:01:23
SCRAPE-0153,2365816576543,GrabMart,Sữa tắm Hada Labo 100ml Date mới,852000,656000,Giảm 50K đơn 300K,2026-07-01 16:47:54
SCRAPE-0154,2365816576543,GrabMart,Sữa tắm Hada Labo 100ml [Freeship],776000,584000,Hoàn xu 10%,2026-07-03 14:58:45
SCRAPE-0155,2365816576543,Shopee,Sữa tắm Hada Labo 100ml Chính hãng,952000,896000,Hoàn xu 10%,2026-07-03 20:33:19
SCRAPE-0156,268361517984,TikTok Shop,Date mới Toner La Roche-Posay 100ml,1514000,1330000,,2026-07-01 06:14:56
SCRAPE-0157,268361517984,Shopee,Toner La Roche-Posay 100ml [Freeship],1357000,1300000,Hoàn xu 10%,2026-07-05 04:03:10
SCRAPE-0158,268361517984,Shopee,Toner La Roche-Posay 100ml Auth 100%,1554000,1286000,Giảm 50K đơn 300K,2026-07-03 14:12:53
SCRAPE-0159,268361517984,TikTok Shop,Auth 100% Toner La Roche-Posay 100ml,1548000,1463000,Freeship extra,2026-07-04 17:46:32
SCRAPE-0160,1891150373925,TikTok Shop,[Freeship] Sữa rửa mặt Maybelline 30ml,1021000,951000,,2026-07-02 03:56:31
SCRAPE-0161,1891150373925,TikTok Shop,[Freeship] Sữa rửa mặt Maybelline 30ml,892000,704000,Freeship extra,2026-06-30 08:03:36
SCRAPE-0162,1891150373925,GrabMart,Giá sỉ Sữa rửa mặt Maybelline 30ml,831000,603000,Giảm 50K đơn 300K,2026-07-01 23:16:50
SCRAPE-0163,1791842857541,GrabMart,Sữa rửa mặt CeraVe 100ml Chính hãng,753000,538000,Giảm 50K đơn 300K,2026-07-01 23:04:52
SCRAPE-0164,1791842857541,Lazada,Chính hãng Sữa rửa mặt CeraVe 100ml,677000,503000,Giảm 50K đơn 300K,2026-07-01 04:02:27
SCRAPE-0165,1791842857541,TikTok Shop,Auth 100% Sữa rửa mặt CeraVe 100ml,828000,636000,,2026-07-04 18:29:38
SCRAPE-0166,1791842857541,Shopee,Sữa rửa mặt CeraVe 100ml Auth 100%,805000,640000,Freeship extra,2026-07-01 11:34:19
SCRAPE-0167,4274363915625,Lazada,[Freeship] Kem chống nắng L'Oreal 150g,957000,903000,,2026-06-30 03:08:38
SCRAPE-0168,4274363915625,TikTok Shop,[Freeship] Kem chống nắng L'Oreal 150g,1017000,920000,Giảm 50K đơn 300K,2026-07-05 05:34:45
SCRAPE-0169,4274363915625,Shopee,Kem chống nắng L'Oreal 150g Chính hãng,813000,639000,Freeship extra,2026-06-30 14:14:52
SCRAPE-0170,4274363915625,Shopee,Chính hãng Kem chống nắng L'Oreal 150g,993000,969000,Freeship extra,2026-06-30 12:22:30
SCRAPE-0171,8679017076804,TikTok Shop,Giá sỉ Toner Bioderma 30ml,1233000,904000,Hoàn xu 10%,2026-07-02 04:20:06
SCRAPE-0172,8679017076804,Lazada,Toner Bioderma 30ml Auth 100%,1161000,1075000,Hoàn xu 10%,2026-07-02 07:17:14
SCRAPE-0173,8679017076804,Shopee,Toner Bioderma 30ml Chính hãng,1203000,902000,,2026-07-01 07:16:25
SCRAPE-0174,8679017076804,Shopee,Toner Bioderma 30ml Date mới,1086000,932000,Giảm 50K đơn 300K,2026-07-01 13:55:17
SCRAPE-0175,3158600019381,Lazada,Sữa rửa mặt Maybelline 200g Auth 100%,843000,748000,,2026-07-04 21:33:38
SCRAPE-0176,3158600019381,Lazada,Chính hãng Sữa rửa mặt Maybelline 200g,1002000,952000,Freeship extra,2026-07-05 18:25:31
SCRAPE-0177,3158600019381,Shopee,Sữa rửa mặt Maybelline 200g [Freeship],805000,624000,Freeship extra,2026-07-01 05:22:55
SCRAPE-0178,6113972526199,TikTok Shop,Giá sỉ Sữa rửa mặt Bioderma 150g,151000,126000,Giảm 15k cho đơn từ 150k,2026-07-01 02:44:23
SCRAPE-0179,6113972526199,GrabMart,Sữa rửa mặt Bioderma 150g Auth 100%,169000,166000,Giảm 15k cho đơn từ 150k,2026-07-03 21:23:50
SCRAPE-0180,6113972526199,Shopee,Sữa rửa mặt Bioderma 150g [Freeship],150000,143000,Giảm 50K đơn 300K,2026-07-05 08:35:42
SCRAPE-0181,6113972526199,GrabMart,Sữa rửa mặt Bioderma 150g Auth 100%,128000,125000,,2026-07-05 15:40:40
SCRAPE-0182,8829911850556,Shopee,Auth 100% Toner L'Oreal 50ml,468000,350000,Hoàn xu 10%,2026-07-04 09:41:32
SCRAPE-0183,8829911850556,GrabMart,Date mới Toner L'Oreal 50ml,475000,386000,Hoàn xu 10%,2026-07-02 05:36:33
SCRAPE-0184,8829911850556,Lazada,Toner L'Oreal 50ml [Freeship],539000,394000,Giảm 50K đơn 300K,2026-07-05 07:07:30
SCRAPE-0185,8829911850556,Lazada,Toner L'Oreal 50ml Chính hãng,556000,464000,Freeship extra,2026-07-02 13:58:14
