sku_id,barcode,product_name,category,current_price,promotion_details
GUA-1028,6162826621852,Toner Hada Labo 50ml,Makeup,1410000,Giảm 10%
GUA-1029,8645666173046,Dầu gội Garnier 500ml,Makeup,679000,Mua 1 tặng 1
GUA-1030,3078270635534,Nước tẩy trang Innisfree 500ml,Makeup,1402000,Giảm 20K
GUA-1031,8814783781863,Sữa tắm CeraVe 30ml,Skincare,425000,Không
GUA-1032,5675947110678,Mặt nạ Innisfree 250ml,Skincare,670000,Không
GUA-1033,3518121420679,Sữa rửa mặt Vichy 150g,Makeup,636000,Không
GUA-1034,6643017529092,Mặt nạ Cetaphil 30ml,Bodycare,880000,Mua 1 tặng 1
GUA-1035,4673470898196,Sữa rửa mặt Vichy 200g,Skincare,906000,Giảm 10%
GUA-1036,565822564928,Sữa rửa mặt Bioderma 100ml,Skincare,550000,Mua 1 tặng 1
GUA-1037,908615041871,Kem chống nắng L'Oreal 30ml,Bodycare,285000,Không
GUA-1038,2365816576543,Sữa tắm Hada Labo 100ml,Healthcare,836000,Mua 1 tặng 1
GUA-1039,268361517984,Toner La Roche-Posay 100ml,Makeup,1444000,Giảm 10%
GUA-1040,1891150373925,Sữa rửa mặt Maybelline 30ml,Makeup,975000,Không
GUA-1041,1791842857541,Sữa rửa mặt CeraVe 100ml,Makeup,789000,Giảm 20K
GUA-1042,4274363915625,Kem chống nắng L'Oreal 150g,Bodycare,948000,Mua 1 tặng 1
GUA-1043,8679017076804,Toner Bioderma 30ml,Skincare,1101000,Giảm 20K
GUA-1044,3158600019381,Sữa rửa mặt Maybelline 200g,Healthcare,936000,Mua 1 tặng 1
GUA-1045,6113972526199,Sữa rửa mặt Bioderma 150g,Makeup,150000,Mua 1 tặng 1
GUA-1046,8829911850556,Toner L'Oreal 50ml,Skincare,518000,Giảm 20K
GUA-1047,7549518185132,Serum Vichy 500ml,Makeup,1117000,Giảm 10%
GUA-1048,6311139625772,Toner CeraVe 200g,Makeup,174000,Giảm 20K
GUA-1049,2409855122470,Kem nền L'Oreal 30ml,Bodycare,1157000,Giảm 20K
GUA-1050,3995514858982,Dầu gội Maybelline 150g,Healthcare,244000,Giảm 20K
GUA-1051,1206615435236,Nước tẩy trang La Roche-Posay 30ml,Makeup,90000,Giảm 20K
GUA-1052,8677620239614,Nước tẩy trang Garnier 30ml,Bodycare,162000,Không
GUA-1053,1799710129237,Sữa tắm Vichy 250ml,Makeup,659000,Giảm 10%
GUA-1054,8394149593883,Toner La Roche-Posay 200g,Healthcare,831000,Giảm 10%
GUA-1055,5698606307989,Nước tẩy trang CeraVe 250ml,Healthcare,1227000,Mua 1 tặng 1
GUA-1056,4901691482133,Dầu gội CeraVe 100ml,Skincare,1335000,Mua 1 tặng 1
GUA-1057,2109843617025,Mặt nạ CeraVe 250ml,Skincare,696000,Giảm 10%
GUA-1058,2089556532033,Toner Maybelline 500ml,Makeup,678000,Mua 1 tặng 1
GUA-1059,8264076419366,Dầu gội Maybelline 30ml,Makeup,348000,Giảm 20K
GUA-1060,1646993075616,Sữa rửa mặt Bioderma 250ml,Makeup,591000,Giảm 10%
GUA-1061,4142531246767,Nước tẩy trang Cetaphil 30ml,Healthcare,817000,Giảm 20K
GUA-1062,6555939651058,Sữa rửa mặt L'Oreal 100ml,Makeup,150000,Giảm 10%
GUA-1063,456743850258,Dầu gội Garnier 100ml,Healthcare,682000,Không
GUA-1064,3556244530071,Nước tẩy trang Innisfree 100ml,Skincare,538000,Giảm 20K
GUA-1065,9279998270050,Toner Maybelline 200g,Makeup,667000,Giảm 20K
GUA-1066,9745414221209,Toner CeraVe 150g,Bodycare,758000,Không
GUA-1067,1975558925477,Kem chống nắng L'Oreal 150g,Healthcare,1247000,Giảm 10%
GUA-1068,4274912342177,Nước tẩy trang Hada Labo 150g,Bodycare,299000,Giảm 20K
GUA-1069,8074047006217,Sữa rửa mặt L'Oreal 250ml,Skincare,923000,Mua 1 tặng 1
GUA-1070,2226127578707,Sữa tắm Bioderma 150g,Skincare,538000,Mua 1 tặng 1
GUA-1071,9195308682537,Kem dưỡng ẩm L'Oreal 50ml,Bodycare,1246000,Mua 1 tặng 1
GUA-1072,5479257954365,Nước tẩy trang Cetaphil 500ml,Bodycare,178000,Giảm 20K
GUA-1073,2039873523795,Sữa tắm Cetaphil 250ml,Healthcare,872000,Giảm 10%
GUA-1074,8650944188986,Kem nền Cetaphil 250ml,Healthcare,1206000,Mua 1 tặng 1
GUA-1075,5229746008630,Nước tẩy trang Garnier 200g,Healthcare,211000,Không
GUA-1076,9502783060593,Sữa rửa mặt Garnier 200g,Skincare,884000,Không
GUA-1077,8240587954969,Kem nền Bioderma 150g,Makeup,338000,Không
GUA-1078,9088522079519,Sữa tắm CeraVe 30ml,Skincare,1418000,Giảm 10%
GUA-1079,2670101490257,Sữa rửa mặt Garnier 50ml,Bodycare,952000,Giảm 20K
GUA-1080,3028407188207,Dầu gội La Roche-Posay 100ml,Bodycare,1245000,Mua 1 tặng 1
GUA-1081,3476212390506,Kem chống nắng Cetaphil 30ml,Healthcare,875000,Không
GUA-1082,5929638476403,Sữa tắm Maybelline 150g,Skincare,1284000,Mua 1 tặng 1
GUA-1083,2091659513209,Serum Vichy 100ml,Makeup,1035000,Không
GUA-1084,9961304097606,Kem chống nắng Vichy 500ml,Makeup,696000,Giảm 20K
GUA-1085,3665945127289,Nước tẩy trang Cetaphil 50ml,Bodycare,227000,Giảm 20K
GUA-1086,5404819406714,Kem dưỡng ẩm Garnier 100ml,Skincare,1064000,Giảm 10%
GUA-1087,5159294665630,Nước tẩy trang Garnier 150g,Bodycare,1476000,Không
GUA-1088,9112723809488,Kem chống nắng Innisfree 500ml,Healthcare,853000,Mua 1 tặng 1
GUA-1089,9236629384691,Dầu gội Garnier 200g,Skincare,1309000,Giảm 10%
GUA-1090,4514851686935,Dầu gội Maybelline 250ml,Bodycare,457000,Giảm 10%
GUA-1091,9820032796405,Serum CeraVe 100ml,Healthcare,86000,Mua 1 tặng 1
GUA-1092,7213786389275,Kem nền Cetaphil 30ml,Skincare,270000,Không
GUA-1093,3175386345418,Mặt nạ Innisfree 100ml,Bodycare,906000,Không
GUA-1094,2585385759744,Sữa tắm Vichy 150g,Makeup,1454000,Giảm 10%
GUA-1095,1778433949711,Sữa rửa mặt L'Oreal 30ml,Healthcare,1370000,Không
GUA-1096,8269045954036,Kem dưỡng ẩm CeraVe 100ml,Makeup,957000,Giảm 10%
GUA-1097,3062536283526,Mặt nạ Maybelline 150g,Bodycare,408000,Giảm 10%
GUA-1098,9510085407339,Kem nền Vichy 50ml,Skincare,1136000,Không
GUA-1099,5809053361551,Dầu gội Bioderma 30ml,Healthcare,1395000,Mua 1 tặng 1
GUA-1100,7858632004642,Nước tẩy trang Hada Labo 150g,Bodycare,462000,Giảm 20K
GUA-1101,4850691111859,Nước tẩy trang La Roche-Posay 50ml,Skincare,129000,Giảm 10%
GUA-1102,2388254850196,Kem chống nắng Vichy 250ml,Healthcare,146000,Mua 1 tặng 1
GUA-1103,2870945249601,Kem chống nắng Bioderma 250ml,Healthcare,1473000,Không
GUA-1104,3817508261621,Dầu gội L'Oreal 500ml,Healthcare,900000,Giảm 20K
GUA-1105,7224037512628,Mặt nạ Vichy 30ml,Healthcare,1395000,Mua 1 tặng 1
GUA-1106,8224639197696,Kem nền Innisfree 500ml,Skincare,366000,Giảm 10%
GUA-1107,2333735834864,Toner Innisfree 150g,Bodycare,295000,Không
GUA-1108,9958482875514,Sữa rửa mặt Hada Labo 50ml,Makeup,642000,Mua 1 tặng 1
GUA-1109,8894498100610,Sữa rửa mặt Maybelline 50ml,Makeup,344000,Không
GUA-1110,7750277601435,Sữa rửa mặt Cetaphil 500ml,Healthcare,248000,Giảm 10%
GUA-1111,3147729059757,Sữa rửa mặt Garnier 30ml,Bodycare,1263000,Giảm 10%
GUA-1112,6104087315995,Nước tẩy trang CeraVe 30ml,Makeup,825000,Không
GUA-1113,9679477664289,Mặt nạ Innisfree 250ml,Bodycare,170000,Giảm 20K
GUA-1114,1344420160301,Nước tẩy trang Innisfree 30ml,Makeup,708000,Giảm 20K
GUA-1115,4924692332054,Dầu gội Garnier 100ml,Skincare,538000,Mua 1 tặng 1
GUA-1116,5536095371789,Serum Vichy 100ml,Skincare,905000,Giảm 10%
GUA-1117,5667394593078,Sữa tắm Cetaphil 50ml,Bodycare,933000,Không
GUA-1118,9438521959165,Sữa tắm Vichy 200g,Skincare,177000,Giảm 20K
GUA-1119,4978963752715,Dầu gội Hada Labo 150g,Makeup,572000,Không
GUA-1120,8800437600427,Serum Garnier 500ml,Makeup,200000,Giảm 10%
GUA-1121,8881823290152,Toner Maybelline 30ml,Makeup,100000,Giảm 10%
GUA-1122,2103679236905,Dầu gội Hada Labo 250ml,Skincare,357000,Giảm 20K
GUA-1123,1199854608614,Mặt nạ Hada Labo 250ml,Healthcare,315000,Không
GUA-1124,8398401415825,Kem chống nắng Innisfree 100ml,Makeup,1438000,Mua 1 tặng 1
GUA-1125,8167159537196,Sữa tắm Innisfree 200g,Healthcare,831000,Không
GUA-1126,2964110536594,Kem dưỡng ẩm Bioderma 30ml,Healthcare,61000,Giảm 20K
GUA-1127,8918377402316,Sữa tắm Cetaphil 50ml,Makeup,1209000,Mua 1 tặng 1
GUA-1128,7217618939727,Kem dưỡng ẩm CeraVe 50ml,Skincare,444000,Giảm 20K
GUA-1129,6325931073157,Serum Hada Labo 200g,Bodycare,719000,Mua 1 tặng 1
GUA-1130,1590172484700,Dầu gội Hada Labo 250ml,Bodycare,492000,Mua 1 tặng 1
GUA-1131,6806352240147,Kem dưỡng ẩm La Roche-Posay 200g,Makeup,525000,Giảm 10%
GUA-1132,3579900085937,Serum Cetaphil 200g,Makeup,1089000,Giảm 20K
GUA-1133,7221213215430,Kem dưỡng ẩm Cetaphil 30ml,Makeup,997000,Giảm 10%
GUA-1134,1242151483405,Kem dưỡng ẩm Bioderma 500ml,Makeup,789000,Không
GUA-1135,4026258503469,Serum Cetaphil 250ml,Makeup,795000,Giảm 20K
GUA-1136,9574367300984,Sữa tắm Garnier 500ml,Makeup,1332000,Giảm 10%
GUA-1137,3944240884276,Nước tẩy trang La Roche-Posay 250ml,Bodycare,1063000,Không
GUA-1138,3715837124391,Sữa tắm La Roche-Posay 100ml,Bodycare,295000,Giảm 20K
GUA-1139,3282743299400,Toner Garnier 30ml,Healthcare,325000,Giảm 10%
GUA-1140,5296153361137,Kem dưỡng ẩm Vichy 500ml,Skincare,1189000,Không
GUA-1141,5520439766441,Kem dưỡng ẩm Maybelline 200g,Makeup,1451000,Giảm 10%
GUA-1142,1139478056129,Sữa rửa mặt Garnier 50ml,Skincare,179000,Giảm 20K
GUA-1143,8349647093057,Serum Cetaphil 500ml,Healthcare,724000,Giảm 10%
GUA-1144,1941826860038,Sữa rửa mặt La Roche-Posay 100ml,Makeup,1488000,Giảm 20K
GUA-1145,9665665765956,Kem dưỡng ẩm Maybelline 500ml,Bodycare,470000,Mua 1 tặng 1
GUA-1146,921022238736,Kem nền L'Oreal 500ml,Skincare,880000,Không
GUA-1147,7979169125169,Mặt nạ Maybelline 30ml,Skincare,1311000,Giảm 20K
GUA-1148,2870665184551,Sữa tắm Vichy 100ml,Healthcare,170000,Không
GUA-1149,8179087892479,Kem nền Bioderma 500ml,Skincare,508000,Mua 1 tặng 1
GUA-1150,5327721371718,Kem chống nắng Maybelline 50ml,Healthcare,791000,Không
GUA-1151,8773089726680,Kem dưỡng ẩm Maybelline 50ml,Makeup,106000,Giảm 10%
GUA-1152,3020880360593,Nước tẩy trang Maybelline 250ml,Healthcare,1368000,Không
GUA-1153,1888979041955,Sữa rửa mặt L'Oreal 50ml,Healthcare,875000,Giảm 10%
GUA-1154,1551792216205,Mặt nạ L'Oreal 30ml,Makeup,314000,Mua 1 tặng 1
GUA-1155,7594245243097,Toner L'Oreal 200g,Skincare,1379000,Không
GUA-1156,9176668773,Serum L'Oreal 200g,Healthcare,972000,Giảm 10%
GUA-1157,7449613162173,Toner L'Oreal 100ml,Healthcare,1500000,Không
GUA-1158,4276840048027,Mặt nạ Cetaphil 100ml,Skincare,1348000,Không
GUA-1159,1412817200846,Kem dưỡng ẩm La Roche-Posay 50ml,Bodycare,1334000,Mua 1 tặng 1
GUA-1160,9700652303454,Toner L'Oreal 250ml,Skincare,1397000,Không
GUA-1161,7889501292266,Sữa rửa mặt Garnier 100ml,Skincare,279000,Giảm 10%
GUA-1162,3142298091235,Kem chống nắng CeraVe 500ml,Skincare,1276000,Không
GUA-1163,6454080538143,Toner Hada Labo 200g,Makeup,50000,Giảm 20K
GUA-1164,2262012143756,Kem nền Cetaphil 250ml,Bodycare,326000,Mua 1 tặng 1
GUA-1165,8584885355353,Kem chống nắng Maybelline 200g,Healthcare,1434000,Mua 1 tặng 1
GUA-1166,2669990163213,Kem nền Maybelline 150g,Bodycare,1375000,Mua 1 tặng 1
GUA-1167,9704532921621,Nước tẩy trang Cetaphil 50ml,Bodycare,877000,Giảm 10%
GUA-1168,5981910602425,Nước tẩy trang CeraVe 250ml,Bodycare,613000,Giảm 20K
GUA-1169,1097116757859,Kem dưỡng ẩm Bioderma 50ml,Healthcare,546000,Giảm 10%
GUA-1170,1867949594638,Kem chống nắng Garnier 200g,Makeup,929000,Giảm 20K
GUA-1171,6698581938462,Nước tẩy trang Hada Labo 500ml,Skincare,359000,Giảm 20K
GUA-1172,2803246228641,Kem nền La Roche-Posay 150g,Bodycare,82000,Giảm 20K
GUA-1173,3561886871658,Toner Cetaphil 150g,Healthcare,438000,Mua 1 tặng 1
GUA-1174,2916101637924,Kem nền Vichy 50ml,Healthcare,933000,Giảm 20K
GUA-1175,8545995985256,Kem nền Hada Labo 150g,Healthcare,232000,Giảm 20K
GUA-1176,5374144832906,Kem nền Vichy 150g,Healthcare,745000,Giảm 10%
GUA-1177,8346574647345,Dầu gội Vichy 500ml,Healthcare,523000,Mua 1 tặng 1
GUA-1178,4094770798793,Kem nền Cetaphil 50ml,Skincare,357000,Không
GUA-1179,2925495105870,Nước tẩy trang La Roche-Posay 500ml,Healthcare,57000,Mua 1 tặng 1
GUA-1180,4511372005572,Kem chống nắng Garnier 100ml,Healthcare,1129000,Giảm 10%
GUA-1181,7143852729195,Sữa tắm La Roche-Posay 500ml,Healthcare,1252000,Không
GUA-1182,608665853546,Kem chống nắng Vichy 30ml,Makeup,1334000,Mua 1 tặng 1
GUA-1183,410668899609,Serum Maybelline 250ml,Skincare,1191000,Không
GUA-1184,8671924978627,Mặt nạ Maybelline 100ml,Bodycare,146000,Giảm 10%
GUA-1185,2994920893129,Toner CeraVe 250ml,Skincare,772000,Giảm 10%
GUA-1186,6071630122021,Kem nền Vichy 100ml,Makeup,102000,Giảm 10%
GUA-1187,8195448198330,Sữa rửa mặt CeraVe 50ml,Skincare,974000,Mua 1 tặng 1
GUA-1188,3062098220228,Mặt nạ La Roche-Posay 500ml,Healthcare,243000,Mua 1 tặng 1
GUA-1189,5403430928524,Toner L'Oreal 200g,Makeup,1096000,Giảm 20K
GUA-1190,634857099296,Serum Bioderma 30ml,Skincare,114000,Giảm 20K
GUA-1191,4101354860093,Kem dưỡng ẩm La Roche-Posay 30ml,Bodycare,1349000,Không
GUA-1192,6332994852922,Sữa tắm Innisfree 30ml,Skincare,253000,Giảm 20K
GUA-1193,8293911069647,Sữa tắm Bioderma 50ml,Makeup,1125000,Giảm 20K
GUA-1194,8440003044146,Toner Garnier 150g,Bodycare,589000,Không
GUA-1195,7329047164612,Kem dưỡng ẩm Cetaphil 150g,Skincare,785000,Giảm 20K
GUA-1196,5591083646762,Kem dưỡng ẩm Maybelline 250ml,Makeup,202000,Giảm 10%
GUA-1197,4206613332616,Dầu gội CeraVe 100ml,Skincare,381000,Mua 1 tặng 1
GUA-1198,3582635858340,Toner L'Oreal 30ml,Bodycare,154000,Giảm 10%
GUA-1199,6787273816633,Kem chống nắng Maybelline 250ml,Skincare,1137000,Giảm 10%
GUA-1200,9350501062586,Kem chống nắng Cetaphil 150g,Bodycare,166000,Không
